instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,count
1,2011-01-01,Panas,0,Januari,0,Sabtu,0,Berkabut/Berawan,331,654,985
2,2011-01-02,Panas,0,Januari,0,Minggu,0,Berkabut/Berawan,131,670,801
3,2011-01-03,Panas,0,Januari,0,Senin,1,Cerah/Sebagian Berawan,120,1229,1349
4,2011-01-04,Panas,0,Januari,0,Selasa,1,Cerah/Sebagian Berawan,108,1454,1562
5,2011-01-05,Panas,0,Januari,0,Rabu,1,Cerah/Sebagian Berawan,82,1518,1600
6,2011-01-06,Panas,0,Januari,0,Kamis,1,Cerah/Sebagian Berawan,88,1518,1606
7,2011-01-07,Panas,0,Januari,0,Jumat,1,Berkabut/Berawan,148,1362,1510
8,2011-01-08,Panas,0,Januari,0,Sabtu,0,Berkabut/Berawan,68,891,959
9,2011-01-09,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,54,768,822
10,2011-01-10,Panas,0,Januari,0,Senin,1,Cerah/Sebagian Berawan,41,1280,1321
11,2011-01-11,Panas,0,Januari,0,Selasa,1,Berkabut/Berawan,43,1220,1263
12,2011-01-12,Panas,0,Januari,0,Rabu,1,Cerah/Sebagian Berawan,25,1137,1162
13,2011-01-13,Panas,0,Januari,0,Kamis,1,Cerah/Sebagian Berawan,38,1368,1406
14,2011-01-14,Panas,0,Januari,0,Jumat,1,Cerah/Sebagian Berawan,54,1367,1421
15,2011-01-15,Panas,0,Januari,0,Sabtu,0,Berkabut/Berawan,222,1026,1248
16,2011-01-16,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,251,953,1204
17,2011-01-17,Panas,0,Januari,1,Senin,0,Berkabut/Berawan,117,883,1000
18,2011-01-18,Panas,0,Januari,0,Selasa,1,Berkabut/Berawan,9,674,683
19,2011-01-19,Panas,0,Januari,0,Rabu,1,Berkabut/Berawan,78,1572,1650
20,2011-01-20,Panas,0,Januari,0,Kamis,1,Berkabut/Berawan,83,1844,1927
21,2011-01-21,Panas,0,Januari,0,Jumat,1,Cerah/Sebagian Berawan,75,1468,1543
22,2011-01-22,Panas,0,Januari,0,Sabtu,0,Cerah/Sebagian Berawan,93,888,981
23,2011-01-23,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,150,836,986
24,2011-01-24,Panas,0,Januari,0,Senin,1,Cerah/Sebagian Berawan,86,1330,1416
25,2011-01-25,Panas,0,Januari,0,Selasa,1,Berkabut/Berawan,186,1799,1985
26,2011-01-26,Panas,0,Januari,0,Rabu,1,Salju Ringan/Hujan,34,472,506
27,2011-01-27,Panas,0,Januari,0,Kamis,1,Cerah/Sebagian Berawan,15,416,431
28,2011-01-28,Panas,0,Januari,0,Jumat,1,Berkabut/Berawan,38,1129,1167
29,2011-01-29,Panas,0,Januari,0,Sabtu,0,Cerah/Sebagian Berawan,123,975,1098
30,2011-01-30,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,140,956,1096
31,2011-01-31,Panas,0,Januari,0,Senin,1,Berkabut/Berawan,42,1459,1501
32,2011-02-01,Panas,0,Februari,0,Selasa,1,Berkabut/Berawan,47,1313,1360
33,2011-02-02,Panas,0,Februari,0,Rabu,1,Berkabut/Berawan,72,1454,1526
34,2011-02-03,Panas,0,Februari,0,Kamis,1,Cerah/Sebagian Berawan,61,1489,1550
35,2011-02-04,Panas,0,Februari,0,Jumat,1,Berkabut/Berawan,88,1620,1708
36,2011-02-05,Panas,0,Februari,0,Sabtu,0,Berkabut/Berawan,100,905,1005
37,2011-02-06,Panas,0,Februari,0,Minggu,0,Cerah/Sebagian Berawan,354,1269,1623
38,2011-02-07,Panas,0,Februari,0,Senin,1,Cerah/Sebagian Berawan,120,1592,1712
39,2011-02-08,Panas,0,Februari,0,Selasa,1,Cerah/Sebagian Berawan,64,1466,1530
40,2011-02-09,Panas,0,Februari,0,Rabu,1,Berkabut/Berawan,53,1552,1605
41,2011-02-10,Panas,0,Februari,0,Kamis,1,Cerah/Sebagian Berawan,47,1491,1538
42,2011-02-11,Panas,0,Februari,0,Jumat,1,Cerah/Sebagian Berawan,149,1597,1746
43,2011-02-12,Panas,0,Februari,0,Sabtu,0,Cerah/Sebagian Berawan,288,1184,1472
44,2011-02-13,Panas,0,Februari,0,Minggu,0,Cerah/Sebagian Berawan,397,1192,1589
45,2011-02-14,Panas,0,Februari,0,Senin,1,Cerah/Sebagian Berawan,208,1705,1913
46,2011-02-15,Panas,0,Februari,0,Selasa,1,Cerah/Sebagian Berawan,140,1675,1815
47,2011-02-16,Panas,0,Februari,0,Rabu,1,Cerah/Sebagian Berawan,218,1897,2115
48,2011-02-17,Panas,0,Februari,0,Kamis,1,Cerah/Sebagian Berawan,259,2216,2475
49,2011-02-18,Panas,0,Februari,0,Jumat,1,Cerah/Sebagian Berawan,579,2348,2927
50,2011-02-19,Panas,0,Februari,0,Sabtu,0,Cerah/Sebagian Berawan,532,1103,1635
51,2011-02-20,Panas,0,Februari,0,Minggu,0,Cerah/Sebagian Berawan,639,1173,1812
52,2011-02-21,Panas,0,Februari,1,Senin,0,Berkabut/Berawan,195,912,1107
53,2011-02-22,Panas,0,Februari,0,Selasa,1,Cerah/Sebagian Berawan,74,1376,1450
54,2011-02-23,Panas,0,Februari,0,Rabu,1,Cerah/Sebagian Berawan,139,1778,1917
55,2011-02-24,Panas,0,Februari,0,Kamis,1,Berkabut/Berawan,100,1707,1807
56,2011-02-25,Panas,0,Februari,0,Jumat,1,Berkabut/Berawan,120,1341,1461
57,2011-02-26,Panas,0,Februari,0,Sabtu,0,Cerah/Sebagian Berawan,424,1545,1969
58,2011-02-27,Panas,0,Februari,0,Minggu,0,Cerah/Sebagian Berawan,694,1708,2402
59,2011-02-28,Panas,0,Februari,0,Senin,1,Berkabut/Berawan,81,1365,1446
60,2011-03-01,Panas,0,Maret,0,Selasa,1,Cerah/Sebagian Berawan,137,1714,1851
61,2011-03-02,Panas,0,Maret,0,Rabu,1,Cerah/Sebagian Berawan,231,1903,2134
62,2011-03-03,Panas,0,Maret,0,Kamis,1,Cerah/Sebagian Berawan,123,1562,1685
63,2011-03-04,Panas,0,Maret,0,Jumat,1,Berkabut/Berawan,214,1730,1944
64,2011-03-05,Panas,0,Maret,0,Sabtu,0,Berkabut/Berawan,640,1437,2077
65,2011-03-06,Panas,0,Maret,0,Minggu,0,Berkabut/Berawan,114,491,605
66,2011-03-07,Panas,0,Maret,0,Senin,1,Cerah/Sebagian Berawan,244,1628,1872
67,2011-03-08,Panas,0,Maret,0,Selasa,1,Cerah/Sebagian Berawan,316,1817,2133
68,2011-03-09,Panas,0,Maret,0,Rabu,1,Berkabut/Berawan,191,1700,1891
69,2011-03-10,Panas,0,Maret,0,Kamis,1,Salju Ringan/Hujan,46,577,623
70,2011-03-11,Panas,0,Maret,0,Jumat,1,Berkabut/Berawan,247,1730,1977
71,2011-03-12,Panas,0,Maret,0,Sabtu,0,Cerah/Sebagian Berawan,724,1408,2132
72,2011-03-13,Panas,0,Maret,0,Minggu,0,Cerah/Sebagian Berawan,982,1435,2417
73,2011-03-14,Panas,0,Maret,0,Senin,1,Cerah/Sebagian Berawan,359,1687,2046
74,2011-03-15,Panas,0,Maret,0,Selasa,1,Berkabut/Berawan,289,1767,2056
75,2011-03-16,Panas,0,Maret,0,Rabu,1,Berkabut/Berawan,321,1871,2192
76,2011-03-17,Panas,0,Maret,0,Kamis,1,Cerah/Sebagian Berawan,424,2320,2744
77,2011-03-18,Panas,0,Maret,0,Jumat,1,Cerah/Sebagian Berawan,884,2355,3239
78,2011-03-19,Panas,0,Maret,0,Sabtu,0,Cerah/Sebagian Berawan,1424,1693,3117
79,2011-03-20,Panas,0,Maret,0,Minggu,0,Cerah/Sebagian Berawan,1047,1424,2471
80,2011-03-21,Semi,0,Maret,0,Senin,1,Berkabut/Berawan,401,1676,2077
81,2011-03-22,Semi,0,Maret,0,Selasa,1,Cerah/Sebagian Berawan,460,2243,2703
82,2011-03-23,Semi,0,Maret,0,Rabu,1,Berkabut/Berawan,203,1918,2121
83,2011-03-24,Semi,0,Maret,0,Kamis,1,Berkabut/Berawan,166,1699,1865
84,2011-03-25,Semi,0,Maret,0,Jumat,1,Cerah/Sebagian Berawan,300,1910,2210
85,2011-03-26,Semi,0,Maret,0,Sabtu,0,Cerah/Sebagian Berawan,981,1515,2496
86,2011-03-27,Semi,0,Maret,0,Minggu,0,Berkabut/Berawan,472,1221,1693
87,2011-03-28,Semi,0,Maret,0,Senin,1,Cerah/Sebagian Berawan,222,1806,2028
88,2011-03-29,Semi,0,Maret,0,Selasa,1,Cerah/Sebagian Berawan,317,2108,2425
89,2011-03-30,Semi,0,Maret,0,Rabu,1,Berkabut/Berawan,168,1368,1536
90,2011-03-31,Semi,0,Maret,0,Kamis,1,Salju Ringan/Hujan,179,1506,1685
91,2011-04-01,Semi,0,April,0,Jumat,1,Berkabut/Berawan,307,1920,2227
92,2011-04-02,Semi,0,April,0,Sabtu,0,Berkabut/Berawan,898,1354,2252
93,2011-04-03,Semi,0,April,0,Minggu,0,Cerah/Sebagian Berawan,1651,1598,3249
94,2011-04-04,Semi,0,April,0,Senin,1,Cerah/Sebagian Berawan,734,2381,3115
95,2011-04-05,Semi,0,April,0,Selasa,1,Berkabut/Berawan,167,1628,1795
96,2011-04-06,Semi,0,April,0,Rabu,1,Cerah/Sebagian Berawan,413,2395,2808
97,2011-04-07,Semi,0,April,0,Kamis,1,Cerah/Sebagian Berawan,571,2570,3141
98,2011-04-08,Semi,0,April,0,Jumat,1,Berkabut/Berawan,172,1299,1471
99,2011-04-09,Semi,0,April,0,Sabtu,0,Berkabut/Berawan,879,1576,2455
100,2011-04-10,Semi,0,April,0,Minggu,0,Berkabut/Berawan,1188,1707,2895
101,2011-04-11,Semi,0,April,0,Senin,1,Berkabut/Berawan,855,2493,3348
102,2011-04-12,Semi,0,April,0,Selasa,1,Berkabut/Berawan,257,1777,2034
103,2011-04-13,Semi,0,April,0,Rabu,1,Berkabut/Berawan,209,1953,2162
104,2011-04-14,Semi,0,April,0,Kamis,1,Cerah/Sebagian Berawan,529,2738,3267
105,2011-04-15,Semi,0,April,1,Jumat,0,Cerah/Sebagian Berawan,642,2484,3126
106,2011-04-16,Semi,0,April,0,Sabtu,0,Salju Ringan/Hujan,121,674,795
107,2011-04-17,Semi,0,April,0,Minggu,0,Cerah/Sebagian Berawan,1558,2186,3744
108,2011-04-18,Semi,0,April,0,Senin,1,Cerah/Sebagian Berawan,669,2760,3429
109,2011-04-19,Semi,0,April,0,Selasa,1,Berkabut/Berawan,409,2795,3204
110,2011-04-20,Semi,0,April,0,Rabu,1,Cerah/Sebagian Berawan,613,3331,3944
111,2011-04-21,Semi,0,April,0,Kamis,1,Cerah/Sebagian Berawan,745,3444,4189
112,2011-04-22,Semi,0,April,0,Jumat,1,Berkabut/Berawan,177,1506,1683
113,2011-04-23,Semi,0,April,0,Sabtu,0,Berkabut/Berawan,1462,2574,4036
114,2011-04-24,Semi,0,April,0,Minggu,0,Berkabut/Berawan,1710,2481,4191
115,2011-04-25,Semi,0,April,0,Senin,1,Cerah/Sebagian Berawan,773,3300,4073
116,2011-04-26,Semi,0,April,0,Selasa,1,Cerah/Sebagian Berawan,678,3722,4400
117,2011-04-27,Semi,0,April,0,Rabu,1,Berkabut/Berawan,547,3325,3872
118,2011-04-28,Semi,0,April,0,Kamis,1,Berkabut/Berawan,569,3489,4058
119,2011-04-29,Semi,0,April,0,Jumat,1,Cerah/Sebagian Berawan,878,3717,4595
120,2011-04-30,Semi,0,April,0,Sabtu,0,Cerah/Sebagian Berawan,1965,3347,5312
121,2011-05-01,Semi,0,Mei,0,Minggu,0,Berkabut/Berawan,1138,2213,3351
122,2011-05-02,Semi,0,Mei,0,Senin,1,Berkabut/Berawan,847,3554,4401
123,2011-05-03,Semi,0,Mei,0,Selasa,1,Berkabut/Berawan,603,3848,4451
124,2011-05-04,Semi,0,Mei,0,Rabu,1,Berkabut/Berawan,255,2378,2633
125,2011-05-05,Semi,0,Mei,0,Kamis,1,Cerah/Sebagian Berawan,614,3819,4433
126,2011-05-06,Semi,0,Mei,0,Jumat,1,Cerah/Sebagian Berawan,894,3714,4608
127,2011-05-07,Semi,0,Mei,0,Sabtu,0,Cerah/Sebagian Berawan,1612,3102,4714
128,2011-05-08,Semi,0,Mei,0,Minggu,0,Cerah/Sebagian Berawan,1401,2932,4333
129,2011-05-09,Semi,0,Mei,0,Senin,1,Cerah/Sebagian Berawan,664,3698,4362
130,2011-05-10,Semi,0,Mei,0,Selasa,1,Cerah/Sebagian Berawan,694,4109,4803
131,2011-05-11,Semi,0,Mei,0,Rabu,1,Cerah/Sebagian Berawan,550,3632,4182
132,2011-05-12,Semi,0,Mei,0,Kamis,1,Cerah/Sebagian Berawan,695,4169,4864
133,2011-05-13,Semi,0,Mei,0,Jumat,1,Berkabut/Berawan,692,3413,4105
134,2011-05-14,Semi,0,Mei,0,Sabtu,0,Berkabut/Berawan,902,2507,3409
135,2011-05-15,Semi,0,Mei,0,Minggu,0,Berkabut/Berawan,1582,2971,4553
136,2011-05-16,Semi,0,Mei,0,Senin,1,Cerah/Sebagian Berawan,773,3185,3958
137,2011-05-17,Semi,0,Mei,0,Selasa,1,Berkabut/Berawan,678,3445,4123
138,2011-05-18,Semi,0,Mei,0,Rabu,1,Berkabut/Berawan,536,3319,3855
139,2011-05-19,Semi,0,Mei,0,Kamis,1,Berkabut/Berawan,735,3840,4575
140,2011-05-20,Semi,0,Mei,0,Jumat,1,Cerah/Sebagian Berawan,909,4008,4917
141,2011-05-21,Semi,0,Mei,0,Sabtu,0,Cerah/Sebagian Berawan,2258,3547,5805
142,2011-05-22,Semi,0,Mei,0,Minggu,0,Cerah/Sebagian Berawan,1576,3084,4660
143,2011-05-23,Semi,0,Mei,0,Senin,1,Berkabut/Berawan,836,3438,4274
144,2011-05-24,Semi,0,Mei,0,Selasa,1,Berkabut/Berawan,659,3833,4492
145,2011-05-25,Semi,0,Mei,0,Rabu,1,Cerah/Sebagian Berawan,740,4238,4978
146,2011-05-26,Semi,0,Mei,0,Kamis,1,Cerah/Sebagian Berawan,758,3919,4677
147,2011-05-27,Semi,0,Mei,0,Jumat,1,Cerah/Sebagian Berawan,871,3808,4679
148,2011-05-28,Semi,0,Mei,0,Sabtu,0,Cerah/Sebagian Berawan,2001,2757,4758
149,2011-05-29,Semi,0,Mei,0,Minggu,0,Cerah/Sebagian Berawan,2355,2433,4788
150,2011-05-30,Semi,0,Mei,1,Senin,0,Cerah/Sebagian Berawan,1549,2549,4098
151,2011-05-31,Semi,0,Mei,0,Selasa,1,Cerah/Sebagian Berawan,673,3309,3982
152,2011-06-01,Semi,0,Juni,0,Rabu,1,Berkabut/Berawan,513,3461,3974
153,2011-06-02,Semi,0,Juni,0,Kamis,1,Cerah/Sebagian Berawan,736,4232,4968
154,2011-06-03,Semi,0,Juni,0,Jumat,1,Cerah/Sebagian Berawan,898,4414,5312
155,2011-06-04,Semi,0,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,1869,3473,5342
156,2011-06-05,Semi,0,Juni,0,Minggu,0,Berkabut/Berawan,1685,3221,4906
157,2011-06-06,Semi,0,Juni,0,Senin,1,Cerah/Sebagian Berawan,673,3875,4548
158,2011-06-07,Semi,0,Juni,0,Selasa,1,Cerah/Sebagian Berawan,763,4070,4833
159,2011-06-08,Semi,0,Juni,0,Rabu,1,Cerah/Sebagian Berawan,676,3725,4401
160,2011-06-09,Semi,0,Juni,0,Kamis,1,Berkabut/Berawan,563,3352,3915
161,2011-06-10,Semi,0,Juni,0,Jumat,1,Cerah/Sebagian Berawan,815,3771,4586
162,2011-06-11,Semi,0,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,1729,3237,4966
163,2011-06-12,Semi,0,Juni,0,Minggu,0,Cerah/Sebagian Berawan,1467,2993,4460
164,2011-06-13,Semi,0,Juni,0,Senin,1,Cerah/Sebagian Berawan,863,4157,5020
165,2011-06-14,Semi,0,Juni,0,Selasa,1,Cerah/Sebagian Berawan,727,4164,4891
166,2011-06-15,Semi,0,Juni,0,Rabu,1,Cerah/Sebagian Berawan,769,4411,5180
167,2011-06-16,Semi,0,Juni,0,Kamis,1,Berkabut/Berawan,545,3222,3767
168,2011-06-17,Semi,0,Juni,0,Jumat,1,Cerah/Sebagian Berawan,863,3981,4844
169,2011-06-18,Semi,0,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,1807,3312,5119
170,2011-06-19,Semi,0,Juni,0,Minggu,0,Berkabut/Berawan,1639,3105,4744
171,2011-06-20,Semi,0,Juni,0,Senin,1,Berkabut/Berawan,699,3311,4010
172,2011-06-21,Gugur,0,Juni,0,Selasa,1,Berkabut/Berawan,774,4061,4835
173,2011-06-22,Gugur,0,Juni,0,Rabu,1,Cerah/Sebagian Berawan,661,3846,4507
174,2011-06-23,Gugur,0,Juni,0,Kamis,1,Berkabut/Berawan,746,4044,4790
175,2011-06-24,Gugur,0,Juni,0,Jumat,1,Cerah/Sebagian Berawan,969,4022,4991
176,2011-06-25,Gugur,0,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,1782,3420,5202
177,2011-06-26,Gugur,0,Juni,0,Minggu,0,Cerah/Sebagian Berawan,1920,3385,5305
178,2011-06-27,Gugur,0,Juni,0,Senin,1,Berkabut/Berawan,854,3854,4708
179,2011-06-28,Gugur,0,Juni,0,Selasa,1,Cerah/Sebagian Berawan,732,3916,4648
180,2011-06-29,Gugur,0,Juni,0,Rabu,1,Cerah/Sebagian Berawan,848,4377,5225
181,2011-06-30,Gugur,0,Juni,0,Kamis,1,Cerah/Sebagian Berawan,1027,4488,5515
182,2011-07-01,Gugur,0,Juli,0,Jumat,1,Cerah/Sebagian Berawan,1246,4116,5362
183,2011-07-02,Gugur,0,Juli,0,Sabtu,0,Cerah/Sebagian Berawan,2204,2915,5119
184,2011-07-03,Gugur,0,Juli,0,Minggu,0,Berkabut/Berawan,2282,2367,4649
185,2011-07-04,Gugur,0,Juli,1,Senin,0,Berkabut/Berawan,3065,2978,6043
186,2011-07-05,Gugur,0,Juli,0,Selasa,1,Cerah/Sebagian Berawan,1031,3634,4665
187,2011-07-06,Gugur,0,Juli,0,Rabu,1,Cerah/Sebagian Berawan,784,3845,4629
188,2011-07-07,Gugur,0,Juli,0,Kamis,1,Cerah/Sebagian Berawan,754,3838,4592
189,2011-07-08,Gugur,0,Juli,0,Jumat,1,Berkabut/Berawan,692,3348,4040
190,2011-07-09,Gugur,0,Juli,0,Sabtu,0,Cerah/Sebagian Berawan,1988,3348,5336
191,2011-07-10,Gugur,0,Juli,0,Minggu,0,Cerah/Sebagian Berawan,1743,3138,4881
192,2011-07-11,Gugur,0,Juli,0,Senin,1,Cerah/Sebagian Berawan,723,3363,4086
193,2011-07-12,Gugur,0,Juli,0,Selasa,1,Cerah/Sebagian Berawan,662,3596,4258
194,2011-07-13,Gugur,0,Juli,0,Rabu,1,Cerah/Sebagian Berawan,748,3594,4342
195,2011-07-14,Gugur,0,Juli,0,Kamis,1,Cerah/Sebagian Berawan,888,4196,5084
196,2011-07-15,Gugur,0,Juli,0,Jumat,1,Cerah/Sebagian Berawan,1318,4220,5538
197,2011-07-16,Gugur,0,Juli,0,Sabtu,0,Cerah/Sebagian Berawan,2418,3505,5923
198,2011-07-17,Gugur,0,Juli,0,Minggu,0,Cerah/Sebagian Berawan,2006,3296,5302
199,2011-07-18,Gugur,0,Juli,0,Senin,1,Cerah/Sebagian Berawan,841,3617,4458
200,2011-07-19,Gugur,0,Juli,0,Selasa,1,Cerah/Sebagian Berawan,752,3789,4541
201,2011-07-20,Gugur,0,Juli,0,Rabu,1,Cerah/Sebagian Berawan,644,3688,4332
202,2011-07-21,Gugur,0,Juli,0,Kamis,1,Berkabut/Berawan,632,3152,3784
203,2011-07-22,Gugur,0,Juli,0,Jumat,1,Cerah/Sebagian Berawan,562,2825,3387
204,2011-07-23,Gugur,0,Juli,0,Sabtu,0,Cerah/Sebagian Berawan,987,2298,3285
205,2011-07-24,Gugur,0,Juli,0,Minggu,0,Cerah/Sebagian Berawan,1050,2556,3606
206,2011-07-25,Gugur,0,Juli,0,Senin,1,Cerah/Sebagian Berawan,568,3272,3840
207,2011-07-26,Gugur,0,Juli,0,Selasa,1,Cerah/Sebagian Berawan,750,3840,4590
208,2011-07-27,Gugur,0,Juli,0,Rabu,1,Cerah/Sebagian Berawan,755,3901,4656
209,2011-07-28,Gugur,0,Juli,0,Kamis,1,Cerah/Sebagian Berawan,606,3784,4390
210,2011-07-29,Gugur,0,Juli,0,Jumat,1,Cerah/Sebagian Berawan,670,3176,3846
211,2011-07-30,Gugur,0,Juli,0,Sabtu,0,Cerah/Sebagian Berawan,1559,2916,4475
212,2011-07-31,Gugur,0,Juli,0,Minggu,0,Cerah/Sebagian Berawan,1524,2778,4302
213,2011-08-01,Gugur,0,Agustus,0,Senin,1,Cerah/Sebagian Berawan,729,3537,4266
214,2011-08-02,Gugur,0,Agustus,0,Selasa,1,Cerah/Sebagian Berawan,801,4044,4845
215,2011-08-03,Gugur,0,Agustus,0,Rabu,1,Berkabut/Berawan,467,3107,3574
216,2011-08-04,Gugur,0,Agustus,0,Kamis,1,Berkabut/Berawan,799,3777,4576
217,2011-08-05,Gugur,0,Agustus,0,Jumat,1,Cerah/Sebagian Berawan,1023,3843,4866
218,2011-08-06,Gugur,0,Agustus,0,Sabtu,0,Berkabut/Berawan,1521,2773,4294
219,2011-08-07,Gugur,0,Agustus,0,Minggu,0,Cerah/Sebagian Berawan,1298,2487,3785
220,2011-08-08,Gugur,0,Agustus,0,Senin,1,Cerah/Sebagian Berawan,846,3480,4326
221,2011-08-09,Gugur,0,Agustus,0,Selasa,1,Cerah/Sebagian Berawan,907,3695,4602
222,2011-08-10,Gugur,0,Agustus,0,Rabu,1,Cerah/Sebagian Berawan,884,3896,4780
223,2011-08-11,Gugur,0,Agustus,0,Kamis,1,Cerah/Sebagian Berawan,812,3980,4792
224,2011-08-12,Gugur,0,Agustus,0,Jumat,1,Cerah/Sebagian Berawan,1051,3854,4905
225,2011-08-13,Gugur,0,Agustus,0,Sabtu,0,Berkabut/Berawan,1504,2646,4150
226,2011-08-14,Gugur,0,Agustus,0,Minggu,0,Berkabut/Berawan,1338,2482,3820
227,2011-08-15,Gugur,0,Agustus,0,Senin,1,Cerah/Sebagian Berawan,775,3563,4338
228,2011-08-16,Gugur,0,Agustus,0,Selasa,1,Cerah/Sebagian Berawan,721,4004,4725
229,2011-08-17,Gugur,0,Agustus,0,Rabu,1,Cerah/Sebagian Berawan,668,4026,4694
230,2011-08-18,Gugur,0,Agustus,0,Kamis,1,Cerah/Sebagian Berawan,639,3166,3805
231,2011-08-19,Gugur,0,Agustus,0,Jumat,1,Berkabut/Berawan,797,3356,4153
232,2011-08-20,Gugur,0,Agustus,0,Sabtu,0,Cerah/Sebagian Berawan,1914,3277,5191
233,2011-08-21,Gugur,0,Agustus,0,Minggu,0,Cerah/Sebagian Berawan,1249,2624,3873
234,2011-08-22,Gugur,0,Agustus,0,Senin,1,Cerah/Sebagian Berawan,833,3925,4758
235,2011-08-23,Gugur,0,Agustus,0,Selasa,1,Cerah/Sebagian Berawan,1281,4614,5895
236,2011-08-24,Gugur,0,Agustus,0,Rabu,1,Cerah/Sebagian Berawan,949,4181,5130
237,2011-08-25,Gugur,0,Agustus,0,Kamis,1,Berkabut/Berawan,435,3107,3542
238,2011-08-26,Gugur,0,Agustus,0,Jumat,1,Cerah/Sebagian Berawan,768,3893,4661
239,2011-08-27,Gugur,0,Agustus,0,Sabtu,0,Berkabut/Berawan,226,889,1115
240,2011-08-28,Gugur,0,Agustus,0,Minggu,0,Cerah/Sebagian Berawan,1415,2919,4334
241,2011-08-29,Gugur,0,Agustus,0,Senin,1,Cerah/Sebagian Berawan,729,3905,4634
242,2011-08-30,Gugur,0,Agustus,0,Selasa,1,Cerah/Sebagian Berawan,775,4429,5204
243,2011-08-31,Gugur,0,Agustus,0,Rabu,1,Cerah/Sebagian Berawan,688,4370,5058
244,2011-09-01,Gugur,0,September,0,Kamis,1,Cerah/Sebagian Berawan,783,4332,5115
245,2011-09-02,Gugur,0,September,0,Jumat,1,Berkabut/Berawan,875,3852,4727
246,2011-09-03,Gugur,0,September,0,Sabtu,0,Cerah/Sebagian Berawan,1935,2549,4484
247,2011-09-04,Gugur,0,September,0,Minggu,0,Cerah/Sebagian Berawan,2521,2419,4940
248,2011-09-05,Gugur,0,September,1,Senin,0,Berkabut/Berawan,1236,2115,3351
